60000 150000
38197 50729 0.125
14306 46185 0.5
7683 57650 0.25
21408 31673 0.5
1538 39522 0.3333333333333333
50843 41979 0.3333333333333333
39795 2732 0.25
40177 43623 0.5
40102 13778 0.2
27645 53176 0.3333333333333333
3173 53169 0.3333333333333333
13 33126 0.2
38631 33667 0.2
43980 25522 0.25
34557 14609 0.25
32978 55280 0.3333333333333333
1792 56797 0.5
27620 37243 0.3333333333333333
3332 40085 1.0
18327 5084 0.5
11611 17065 0.2
1223 1087 0.2
29585 31553 0.3333333333333333
15290 43395 0.5
24499 50339 0.125
20085 49184 0.5
56846 3498 1.0
27181 45940 0.25
1416 31241 0.125
35393 21951 0.25
54688 9994 1.0
33976 23282 0.25
45151 50521 0.25
33753 56767 0.3333333333333333
33415 49941 0.3333333333333333
45272 37456 1.0
50911 38496 0.3333333333333333
294 42306 0.5
56472 49922 0.5
3981 28191 1.0
53009 9072 0.16666666666666666
29645 42168 0.16666666666666666
40061 22631 0.3333333333333333
9716 23608 0.3333333333333333
12773 44454 0.2
33043 37039 0.3333333333333333
53990 1676 0.2
33060 27093 0.3333333333333333
38370 8913 0.3333333333333333
644 18159 0.5
26208 55864 0.5
56708 8804 0.25
1688 28335 0.3333333333333333
52018 33456 0.14285714285714285
49769 37064 0.3333333333333333
33413 17687 0.3333333333333333
37185 41176 0.2
19266 23873 0.25
30540 8219 0.25
9892 55360 0.25
20371 7999 0.3333333333333333
21805 31710 0.3333333333333333
18753 24567 0.5
56419 22370 0.3333333333333333
16506 21129 0.5
12551 15576 0.3333333333333333
25718 6360 0.25
17734 4822 0.25
14739 36216 0.25
21419 29451 0.3333333333333333
19357 47200 0.2
53977 2550 0.25
11218 36447 0.5
42209 49463 0.25
44882 32083 0.2
914 46701 0.25
9315 52302 0.25
29706 47386 0.3333333333333333
5115 57229 0.3333333333333333
20513 37982 0.3333333333333333
33362 34102 1.0
18984 14398 0.2
13790 30753 1.0
4560 23319 0.3333333333333333
28850 58662 0.25
1027 32051 0.16666666666666666
132 44340 0.25
20301 36149 0.3333333333333333
14454 3483 0.3333333333333333
25160 10322 0.16666666666666666
43073 27470 0.25
22743 59345 0.5
41175 57108 0.2
43497 9301 0.3333333333333333
49690 28900 0.25
4767 30548 0.2
22779 1936 0.5
38844 38915 0.3333333333333333
15187 35332 0.25
2695 2980 0.3333333333333333
45066 10524 0.2
36604 33227 0.5
22750 25806 0.5
39801 20366 0.25
26268 15647 0.5
866 24937 0.5
39783 51382 0.2
11891 56612 0.25
29526 37441 1.0
33933 8715 0.3333333333333333
6818 31838 0.5
44312 56460 0.5
37443 11194 1.0
16279 30346 0.5
22857 34519 0.5
51502 4539 0.25
41587 10952 0.2
22862 45809 0.3333333333333333
10087 23958 0.5
58961 17432 0.3333333333333333
47299 42737 0.25
31857 20321 0.3333333333333333
31507 57974 0.16666666666666666
34249 5702 0.16666666666666666
6269 2990 0.3333333333333333
4780 41374 0.25
57365 54002 0.3333333333333333
38246 48519 0.25
28952 51876 0.1111111111111111
44329 49180 0.25
53082 4930 0.3333333333333333
47906 49881 0.5
52448 19055 0.5
21856 41419 0.5
30381 51492 0.5
48650 55442 0.16666666666666666
59803 28117 0.25
55812 54196 0.5
52377 24713 0.5
56138 42832 0.3333333333333333
40104 6262 0.2
54478 47023 0.5
18119 35864 0.5
55879 33367 0.25
23343 31551 1.0
39708 45123 0.25
50877 7070 0.3333333333333333
31950 49608 0.25
51892 14645 0.14285714285714285
14611 1340 0.3333333333333333
32063 45626 0.25
28887 58365 0.5
26043 10622 0.5
53275 1799 0.2
35311 54382 0.3333333333333333
9936 35407 0.3333333333333333
18534 48038 0.5
27381 54133 0.5
18663 14476 1.0
42735 2564 0.25
42791 46822 0.5
51395 17928 0.25
42914 313 0.3333333333333333
34423 21292 0.25
52519 26630 0.5
53333 10008 0.5
42587 43632 0.3333333333333333
1599 11973 0.16666666666666666
45974 19616 0.14285714285714285
13764 54172 0.2
24185 48188 0.3333333333333333
1445 4096 0.3333333333333333
49519 45973 0.3333333333333333
46724 42252 0.5
11893 50130 1.0
38175 34442 0.5
2301 1678 1.0
11377 15753 0.5
24587 45684 0.25
17064 30651 0.3333333333333333
7755 8625 0.5
16199 16125 0.14285714285714285
15039 49741 0.25
6739 33140 0.25
10109 32668 0.5
19717 55209 1.0
3527 38907 0.5
38850 17321 0.14285714285714285
14871 21329 1.0
13643 1793 0.25
23856 58325 0.3333333333333333
50650 49229 0.2
31042 33438 0.5
13728 28657 0.3333333333333333
38129 57577 0.3333333333333333
18867 42771 0.2
6709 56844 0.3333333333333333
32100 48026 0.14285714285714285
45974 8519 0.25
53438 8946 0.25
41157 20875 0.5
7504 37127 0.14285714285714285
32690 33740 0.5
18843 36181 0.25
6264 52733 0.3333333333333333
25763 46990 0.25
41314 30682 0.16666666666666666
26292 55909 0.2
40552 20462 0.3333333333333333
50303 8558 0.2
25027 19321 0.16666666666666666
42637 7474 0.25
56819 28896 0.3333333333333333
54376 4088 0.25
43094 17504 0.2
10243 38056 0.5
24516 4952 0.5
2396 13818 0.25
51105 19117 0.25
